Geneid	./SRR15174659	./SRR15174661	./SRR15174663	./SRR15174670	./SRR15174671	./SRR15174672
AF52_02119	10099	6635	9498	8456	7060	9167
AF52_02120	7974	4348	7420	5556	5074	6346
AF52_02121	32238	17448	26643	23695	17575	26150
AF52_02122	31688	16384	26343	22383	18917	24216
AF52_02123	20376	10435	18424	18302	18021	22163
AF52_02124	13653	6558	12154	9574	9410	11276
AF52_02125	1326	854	1015	1574	1598	2120
AF52_02126	3396	1373	2213	1684	1402	1925
AF52_02127	1789	940	1569	1755	1738	2539
AF52_02128	931	729	657	1852	1887	2459
AF52_02129	667	388	507	1952	1225	2329
AF52_02130	930	370	748	1651	1837	2479
AF52_02131	5635	2908	4738	5047	4735	6521
AF52_02132	232	88	150	158	179	330
AF52_02133	282	174	367	971	669	1281
AF52_02134	609	166	282	430	382	657
AF52_02135	1447	944	1432	1595	1394	2085
AF52_02136	3462	1761	3119	4344	4304	6576
AF52_02137	3433	1633	2528	4489	3735	6380
AF52_02138	1616	958	1098	1333	1234	2031
AF52_02139	310	155	340	695	529	717
AF52_02140	2849	1242	1814	1707	1679	3207
AF52_02141	12422	7625	11988	4282	3336	6159
AF52_02142	1906	1492	1765	339	287	318
AF52_02143	1468	756	1082	356	424	475
AF52_02144	2044	1182	1803	1182	799	939
AF52_02145	577	308	550	574	554	710
AF52_02146	1727	970	1459	356	232	475
AF52_02147	1376	849	1425	949	1227	1880
AF52_02148	1072	838	976	5801	5416	7323
AF52_02149	615	613	572	806	620	1209
AF52_02150	1578	845	1323	805	508	1048
AF52_02151	658	209	346	1459	1107	1988
AF52_02152	335	276	303	298	357	506
AF52_02153	636	231	406	686	571	796
AF52_02154	584	387	393	408	373	651
AF52_02155	409	243	330	139	86	146
AF52_02156	708	358	471	298	370	518
AF52_02157	331	145	313	226	150	288
AF52_02158	765	257	585	655	432	670
AF52_02159	7599	4039	6257	41447	34825	59651
AF52_02160	3396	1629	3604	35787	32333	47367
AF52_02161	1463	891	1753	14342	10121	14804
AF52_02162	6136	3306	5130	10140	9432	14034
AF52_02163	3730	2031	3979	1425	1422	1935
AF52_02164	11274	5763	9461	3293	2733	4994
AF52_02165	4735	2910	3766	1021	1050	1567
AF52_02166	4190	2079	3657	607	775	780
AF52_02167	7179	4280	8243	738	710	1068
AF52_02168	4506	3219	3889	1478	1076	1536
AF52_02169	4089	2769	2980	307	390	475
AF52_02170	914	490	609	23	31	31
AF52_02171	5099	3119	4119	446	388	506
AF52_02172	2279	1076	1978	3081	2858	4374
AF52_02173	2536	1359	2318	2122	2065	3154
AF52_02174	2147	1299	1661	1165	1037	1380
AF52_02175	5829	3253	5040	2389	2316	3596
AF52_02176	7013	4021	6214	8998	7347	10095
AF52_02177	15411	8886	14215	3427	3904	4738
AF52_02178	17900	9842	15614	3232	3152	4072
AF52_02179	24623	15877	23592	23604	21754	31399
AF52_02180	18301	12587	17935	17955	15334	22544
AF52_02181	698	393	581	496	255	561
AF52_02182	835	335	573	899	426	789
AF52_02183	1422	948	1240	2146	1839	2740
AF52_02184	344	149	468	727	631	1130
AF52_02185	1444	857	1183	1969	1743	2223
AF52_02186	4951	3358	4838	7962	7052	11291
AF52_02187	1055	499	965	238	158	333
AF52_02188	590	401	499	225	254	368
AF52_02189	1668	806	1731	727	541	979
AF52_02190	1780	1095	1490	2008	1570	3062
AF52_02191	664	262	632	765	525	984
AF52_02192	247	110	166	851	647	676
AF52_02193	750	221	304	479	383	359
AF52_02194	523	247	502	1183	1466	1853
AF52_02195	273	212	229	525	539	824
AF52_02196	773	331	653	682	472	916
AF52_02197	946	329	654	859	548	1177
AF52_02198	2536	1408	2486	4084	3139	4872
AF52_02199	4014	1955	3207	4785	4269	6475
AF52_02200	6066	3627	4918	6043	6008	7484
AF52_02201	2693	1601	2589	2971	3140	4409
AF52_02202	2326	1343	2269	1765	1887	2377
AF52_02203	4619	2466	3755	4374	4498	6192
AF52_02204	1937	1044	1519	3809	3248	4183
AF52_02205	614	530	630	3649	3011	4554
AF52_02206	484	269	241	367	476	581
AF52_02207	180	56	245	352	198	548
AF52_02208	187	94	326	815	453	731
AF52_02209	59	115	109	455	221	335
AF52_02210	128	29	202	481	320	572
AF52_02211	0	11	19	53	19	15
AF52_02212	1	24	26	100	38	75
AF52_02213	1832	730	1259	654	613	816
AF52_02214	2979	1574	2328	3328	3068	4461
AF52_02215	148	119	288	1606	1734	2729
AF52_02216	239	186	241	762	804	933
AF52_02217	907	669	769	1686	1668	2354
AF52_02218	209	64	91	3253	2568	4505
AF52_02219	181	129	149	898	721	1148
AF52_02220	82	33	39	47	111	108
AF52_02221	1173	606	1239	480	722	957
AF52_02222	1657	1364	1586	704	629	752
AF52_02223	831	500	526	871	632	1117
AF52_02224	1355	857	1112	499	680	1041
AF52_02225	917	823	898	835	720	1011
AF52_02226	710	614	644	320	297	445
AF52_02227	956	638	770	398	239	498
AF52_02228	3384	1554	2495	8623	7280	13362
AF52_02229	250	64	100	84	146	131
AF52_02230	729	335	519	597	432	660
AF52_02231	174	34	239	304	283	561
AF52_02232	1168	553	1019	1832	1781	2606
AF52_02233	735	311	541	1174	1003	1165
AF52_02234	1765	1062	1628	1183	810	1612
AF52_02235	498	291	295	129	231	242
AF52_02236	334	158	127	11	9	66
AF52_02237	111	69	102	30	16	34
AF52_02238	360	318	366	81	28	157
AF52_02239	1701	1258	1325	1723	1324	2069
AF52_02240	1179	401	707	630	400	722
AF52_02241	177	53	96	263	212	201
AF52_02242	45	34	112	167	160	220
AF52_02243	1994	1322	1749	7217	6525	8442
AF52_02244	1976	757	1576	4824	4610	6752
AF52_02245	316	168	411	318	289	339
AF52_02246	440	291	317	161	58	170
AF52_02247	239	95	117	132	82	133
AF52_02248	219	83	114	331	410	820
AF52_02249	32	36	114	478	515	824
AF52_02250	8	26	22	332	74	292
AF52_02251	108	48	92	113	113	163
AF52_02252	471	231	369	754	633	1013
AF52_02253	43	74	86	258	225	294
AF52_02254	44	30	46	200	69	131
AF52_02255	65	37	73	195	215	215
AF52_02256	3863	2217	3464	2362	1622	2884
AF52_02257	1631	682	1494	1664	1264	2318
AF52_02258	898	500	730	334	228	495
AF52_02259	6311	1720	5175	2347	1902	2741
AF52_02260	173	105	242	233	202	327
AF52_02261	267	140	256	260	229	505
AF52_02262	582	338	549	479	357	586
AF52_02263	1119	376	812	1500	1296	2093
AF52_02264	1731	662	1206	1158	1025	1780
AF52_02265	2627	1153	1878	851	752	1542
AF52_02266	788	540	697	948	845	1184
AF52_02267	2647	1657	1886	3134	2520	4233
AF52_02268	2248	1316	1860	1491	1308	1749
AF52_02269	766	423	821	1795	1568	2710
AF52_02270	18761	12610	15675	25457	23571	33847
AF52_02271	4305	1976	3187	6436	5421	8390
AF52_02272	5325	2722	4344	10016	10543	15319
AF52_02273	235	308	379	830	745	691
AF52_02274	2103	729	1789	2206	2069	2767
AF52_02275	416	238	250	1290	805	1446
AF52_02276	462	106	453	564	444	698
AF52_02277	3753	2143	3145	5534	4336	6368
AF52_02278	284	166	176	540	444	781
AF52_02279	5111	2689	5255	5261	4205	7435
AF52_02280	1047	183	786	293	136	311
AF52_02281	217	90	98	296	335	492
AF52_02282	146	130	225	1099	947	1586
AF52_02283	160	185	122	596	650	747
AF52_02284	1843	552	1158	1706	1238	3355
AF52_02285	149	118	92	175	173	482
AF52_02286	153	58	130	39	23	57
AF52_02287	1082	521	1036	584	393	1126
AF52_02288	685	553	554	1195	1025	2059
AF52_02289	375	155	369	634	445	772
AF52_02290	1343	909	744	993	940	1309
AF52_02291	1078	738	706	449	372	887
AF52_02292	313	170	300	128	111	171
AF52_02293	529	395	684	148	111	151
AF52_02294	2425	1348	1882	975	727	1154
AF52_02295	2415	1081	1832	1437	1180	1610
AF52_02296	400	158	137	2255	1483	2383
AF52_02297	117	107	102	949	887	1194
AF52_02298	734	481	635	1537	837	1684
AF52_02299	1802	977	1440	3419	3231	4367
AF52_02300	114	51	130	151	123	200
AF52_02301	256	136	221	450	338	598
AF52_02302	324	130	219	463	366	536
AF52_02303	236	94	166	263	220	340
AF52_02304	3114	1845	2685	5057	4607	7629
AF52_02305	2527	1180	1900	5459	4205	7432
AF52_02306	1254	720	932	9345	8173	13204
AF52_02307	1594	1006	1774	1848	1468	2154
AF52_02308	1186	751	1310	877	768	935
AF52_02309	2146	1271	1790	2524	2571	3280
AF52_02310	1546	638	1028	2104	1532	4516
AF52_02311	1785	1161	1259	2488	2020	3409
AF52_02312	3880	1449	3171	3621	2517	4386
AF52_02313	3399	1464	2486	3876	2971	5049
AF52_02314	180	120	209	690	440	744
AF52_02315	126	68	113	253	210	398
AF52_02316	976	442	548	545	507	539
AF52_02317	4055	2046	3448	3601	3062	5056
AF52_02318	314	133	165	728	540	748
AF52_02319	242	145	282	593	277	738
AF52_02320	231	134	214	218	121	370
AF52_02321	495	113	448	710	581	963
AF52_02322	717	373	510	819	915	1398
AF52_02323	1261	674	969	1593	907	2373
AF52_02324	861	355	667	368	550	392
AF52_02325	631	464	701	278	392	372
AF52_02326	623	306	495	548	285	306
AF52_02327	891	505	844	162	191	298
AF52_02328	736	404	540	383	302	453
AF52_02329	660	270	589	830	662	1079
AF52_02330	735	462	634	1003	882	1181
AF52_02331	603	256	280	567	540	1059
AF52_02332	32	5	18	333	215	349
AF52_02333	180	103	64	702	706	843
AF52_02334	970	450	701	1269	1100	1683
AF52_02335	309	97	145	302	223	396
AF52_02336	1122	404	937	387	263	625
AF52_02337	1808	784	1890	3021	2589	3521
AF52_02338	730	308	632	451	269	566
