"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AF52_03260",65.8248198517434,-0.187801419764505,0.543305685260149,-0.345664374328387,0.72959496082752,0.792407772024592
"AF52_00534",741.695316982537,0.0849026658089912,0.252698103961198,0.335984577953256,0.736882496162934,0.800139988984227
"AF52_03080",185.83333776353,0.111094579939252,0.332040938090425,0.334580972389005,0.737941200284943,0.801106676228073
"AF52_03007",2088.60694345011,-0.0518915955608109,0.155685660718048,-0.333310051301311,0.738900252928497,0.801964765615685
"AF52_01366",3006.61521390957,-0.0413167905364629,0.12435343931406,-0.332252897582637,0.739698303729307,0.802548105252692
"AF52_04297",219.370894255565,-0.123935675694501,0.373130472408123,-0.332151043292285,0.739775208878848,0.802548105252692
"AF52_02514",452.474059475509,0.0809492359341396,0.244747956705558,0.33074529823971,0.740836883059506,0.803516582857699
"AF52_00681",606.907629678296,0.0857045175034789,0.259301791565976,0.330520344598824,0.741006822808177,0.803517658293591
"AF52_03326",186.545419482514,-0.125035621541271,0.378699537511913,-0.330171043679551,0.741270724931015,0.803620598990633
"AF52_02482",1352.37400395523,0.0470656584574508,0.143323909977547,0.32838664856983,0.742619336685726,0.804899171667573
"AF52_03506",681.141347170304,-0.0769581192432512,0.235441039352831,-0.326867904825726,0.743767797076008,0.805960274070061
"AF52_01362",230.825269076402,0.0967057936846378,0.296601680620056,0.326046007165135,0.744389546674529,0.806266609880223
"AF52_02752",100.655213726601,0.140550023075185,0.430780715178156,0.326268140896369,0.744221490378194,0.806266609880223
"AF52_03667",31.6690856530657,-0.287230570834243,0.885508145015597,-0.324368073236846,0.745659388016326,0.807458116895639
"AF52_01755",1331.5854446855,0.0640686496081826,0.198160655923775,0.323316701337663,0.746455406830298,0.808136106279284
"AF52_00829",975.173626716564,-0.0504577040528755,0.156996498233942,-0.321393818463951,0.747911967002087,0.809528747169305
"AF52_03651",117.761596081938,-0.144025539249985,0.449032728871746,-0.320746195075508,0.748402736711308,0.80987563499408
"AF52_00115",240.070432038085,-0.132150929985074,0.413554801455724,-0.319548774478979,0.749310411731371,0.810489042118353
"AF52_00260",998.01403278496,-0.050100642951893,0.156729980719927,-0.319662152204445,0.749224453648556,0.810489042118353
"AF52_00562",1199.31961158129,0.052941316977155,0.166221808857382,0.318498019851166,0.750107196444085,0.811166399792649
"AF52_01411",723.249598700606,-0.0761689698258625,0.241816933522704,-0.31498608768319,0.752772217029447,0.813863301703126
"AF52_02841",12.6003074585552,-0.631276458755673,2.00674810769185,-0.314576830214014,0.753082973460236,0.814014232222019
"AF52_00199",69.0429177274967,-0.227608728152544,0.728964766622121,-0.31223556826654,0.754861502777131,0.815386759765876
"AF52_00231",33.9877339623531,0.358389396097436,1.14784438171421,0.312228209508864,0.754867094879973,0.815386759765876
"AF52_01410",162.605354621543,0.115457071315974,0.369435550796702,0.312522904379361,0.754643158972503,0.815386759765876
"AF52_04537",1038.51253232428,-0.0469226640287932,0.150825614116555,-0.311105406754932,0.755720490977171,0.816123218684701
"AF52_02879",104.55700604873,-0.183192705301869,0.58928611443746,-0.310872258506799,0.755897734766831,0.816129313632474
"AF52_01022",275.677188527918,0.110531735232664,0.357014192825384,0.309600395317407,0.756864855634227,0.816594876009216
"AF52_01199",1768.19368523544,0.0424456453046427,0.13758754453035,0.308499184642981,0.757702520569527,0.816594876009216
"AF52_01807",400.052189578907,-0.0793364839747889,0.256287096506244,-0.309560976952485,0.756894835330725,0.816594876009216
"AF52_02251",98.7136516345716,0.13388019742988,0.433746022725361,0.308660345952383,0.757579911169149,0.816594876009216
"AF52_02402",168.295050905171,-0.122446394608371,0.396842214841697,-0.308551837553916,0.757662462258141,0.816594876009216
"AF52_03100",433.719854864004,0.0815671753555929,0.263817937430981,0.309179793269107,0.757184764019464,0.816594876009216
"AF52_03668",65.3035227290308,-0.18476635119649,0.597884930280619,-0.309033296941887,0.757296198363687,0.816594876009216
"AF52_04296",1013.13804617772,0.059247628499612,0.191246513967231,0.309797168432381,0.756715205019428,0.816594876009216
"AF52_04206",7.93126074803422,0.525472956246956,1.70519229265168,0.30816052741466,0.757960186386668,0.816687504860669
"AF52_04175",479.880731008288,-0.0725404906810569,0.237690103840441,-0.305189360049052,0.760221935553498,0.818938963871447
"AF52_03446",1015.38329508948,-0.0472805335314024,0.155100994968622,-0.304837074326748,0.760490243310521,0.819042481246566
"AF52_02277",3904.26312393004,-0.0321662794685203,0.105990855577465,-0.303481647480532,0.761522831586853,0.819968889976698
"AF52_03089",146.834983767947,-0.139032200323545,0.461170011699175,-0.301477105615092,0.763050705465585,0.821428056857022
"AF52_04431",1623.20524245188,-0.040402148966435,0.134688094179871,-0.299968228167811,0.764201390516932,0.822480609481451
